id,branch_code,branch_name,category
1,AD,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE,"Computer Science, IT & Artificial Intelligence"
2,AE,AERONAUTICAL ENGINEERING,"Aerospace, Aeronautical & Marine"
3,AG,AGRICULTURAL ENGINEERING,"Biotechnology, Biomedical & Life Sciences"
4,AL,ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING,"Computer Science, IT & Artificial Intelligence"
5,AM,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING),"Computer Science, IT & Artificial Intelligence"
6,AO,AEROSPACE ENGINEERING,"Aerospace, Aeronautical & Marine"
7,AP,APPAREL TECHNOLOGY (SS),"Textile, Fashion & Apparel"
8,AS,AUTOMOBILE ENGINEERING (SS),"Mechanical, Manufacturing & Automation"
9,AT,ARTIFICIAL INTELLIGENCE AND DATA SCIENCE (SS),"Computer Science, IT & Artificial Intelligence"
10,AU,AUTOMOBILE ENGINEERING,"Mechanical, Manufacturing & Automation"
11,BC,BIO TECHNOLOGY AND BIO CHEMICAL ENGINEERING,"Biotechnology, Biomedical & Life Sciences"
12,BM,BIO MEDICAL ENGINEERING,"Biotechnology, Biomedical & Life Sciences"
13,BP,B.PLAN,Miscellaneous / Interdisciplinary
14,BS,BIO TECHNOLOGY (SS),"Biotechnology, Biomedical & Life Sciences"
15,BT,BIO TECHNOLOGY,"Biotechnology, Biomedical & Life Sciences"
16,BY,BIO MEDICAL ENGINEERING  (SS),"Biotechnology, Biomedical & Life Sciences"
17,CB,COMPUTER SCIENCE AND BUSSINESS SYSTEM,"Computer Science, IT & Artificial Intelligence"
18,CC,CHEMICAL AND ELECTRO CHEMICAL  ENGINEERING (SS),"Chemical, Petroleum & Related Technologies"
19,CD,COMPUTER SCIENCE AND DESIGN,"Computer Science, IT & Artificial Intelligence"
20,CE,CIVIL  ENGINEERING,"Civil, Architecture & Planning"
21,CF,COMPUTER SCIENCE AND ENGINEERING (DATA SCIENCE),"Computer Science, IT & Artificial Intelligence"
22,CG,COMPUTER SCIENCE AND ENGINEERING (ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING) (SS),"Computer Science, IT & Artificial Intelligence"
23,CH,CHEMICAL  ENGINEERING,"Chemical, Petroleum & Related Technologies"
24,CI,COMPUTER SCIENCE AND ENGINEERING (INTERNET OF THINGS),"Computer Science, IT & Artificial Intelligence"
25,CJ,"M.TECH. COMPUTER SCIENCE AND ENGINEERING (INTEGRATED 5
YEARS)","Computer Science, IT & Artificial Intelligence"
26,CL,CHEMICAL  ENGINEERING (SS),"Chemical, Petroleum & Related Technologies"
27,CM,COMPUTER SCIENCE AND ENGINEERING (SS),"Computer Science, IT & Artificial Intelligence"
28,CN,CIVIL  ENGINEERING (SS),"Civil, Architecture & Planning"
29,CO,COMPUTER AND  COMMUNICATION ENGINEERING,"Computer Science, IT & Artificial Intelligence"
30,CR,CERAMIC TECHNOLOGY (SS),"Material Science, Metallurgy & Mining"
31,CS,COMPUTER SCIENCE AND ENGINEERING,"Computer Science, IT & Artificial Intelligence"
32,CT,COMPUTER TECHNOLOGY,"Computer Science, IT & Artificial Intelligence"
33,CW,COMPUTER SCIENCE AND BUSINESS SYSTEM (SS),"Computer Science, IT & Artificial Intelligence"
34,CY,CYBER SECURITY,"Computer Science, IT & Artificial Intelligence"
35,CZ,CIVIL AND STRUCTUTURAL ENGINEERING,"Civil, Architecture & Planning"
36,EC,ELECTRONICS AND COMMUNICATION ENGINEERING,"Electronics, Electrical & Communication"
37,EE,ELECTRICAL AND ELECTRONICS ENGINEERING,"Electronics, Electrical & Communication"
38,EI,ELECTRONICS AND INSTRUMENTATION ENGINEERING,"Electronics, Electrical & Communication"
39,EM,ELECTRONICS AND COMMUNICATION ENGINEERING (SS),"Electronics, Electrical & Communication"
40,EN,ENVIRONMENTAL ENGINEERING,"Civil, Architecture & Planning"
41,ES,ELECTRICAL AND ELECTRONICS (SANDWICH) (SS),"Electronics, Electrical & Communication"
42,ET,ELECTRONICS AND  TELECOMMUNICATION ENGINEERING,"Electronics, Electrical & Communication"
43,EY,ELECTRICAL AND ELECTRONICS ENGINEERING (SS),"Electronics, Electrical & Communication"
44,FD,FOOD TECHNOLOGY,"Biotechnology, Biomedical & Life Sciences"
45,FS,FOOD TECHNOLOGY (SS),"Biotechnology, Biomedical & Life Sciences"
46,FT,FASHION TECHNOLOGY,"Textile, Fashion & Apparel"
47,FY,FASHION TECHNOLOGY (SS),"Textile, Fashion & Apparel"
48,GI,GEO INFORMATICS,"Civil, Architecture & Planning"
49,HT,HANDLOOM AND TEXTILE TECHNOLOGY,"Textile, Fashion & Apparel"
50,IB,INDUSTRIAL BIO TECHNOLOGY,"Biotechnology, Biomedical & Life Sciences"
51,IC,INSTRUMENTATION AND CONTROL ENGINEERING,"Electronics, Electrical & Communication"
52,IE,INDUSTRIAL ENGINEERING,"Industrial, Safety & Management"
53,IM,INFORMATION TECHNOLOGY (SS),"Computer Science, IT & Artificial Intelligence"
54,IN,INDUSTRIAL ENGINEERING AND MANAGEMENT,"Industrial, Safety & Management"
55,IS,INDUSTRIAL BIO TECHNOLOGY (SS),"Biotechnology, Biomedical & Life Sciences"
56,IT,INFORMATION TECHNOLOGY,"Computer Science, IT & Artificial Intelligence"
57,IY,INSTRUMENTATION AND CONTROL ENGINEERING (SS),"Electronics, Electrical & Communication"
58,LE,LEATHER TECHNOLOGY,"Material Science, Metallurgy & Mining"
59,MA,MATERIAL SCIENCE AND ENGINEERING (SS),"Material Science, Metallurgy & Mining"
60,MC,MECHATRONICS,"Mechanical, Manufacturing & Automation"
61,MD,MEDICAL ELECTRONICS ENGINEERING,"Biotechnology, Biomedical & Life Sciences"
62,ME,MECHANICAL ENGINEERING,"Mechanical, Manufacturing & Automation"
63,MF,MECHANICAL ENGINEERING (SS),"Mechanical, Manufacturing & Automation"
64,MG,MECHATRONICS (SS),"Mechanical, Manufacturing & Automation"
65,MH,MECHANICAL ENGINEERING (SANDWICH),"Mechanical, Manufacturing & Automation"
66,MI,MINING ENGINEERING,"Material Science, Metallurgy & Mining"
67,MM,MECHANICAL ENGINEERING (MANUFACTURING),"Mechanical, Manufacturing & Automation"
68,MN,MANUFACTURING ENGINEERING,"Mechanical, Manufacturing & Automation"
