s_no,college_code,college_name,location,region,college_type
1,1,"University Departments of Anna University, Chennai - CEG Campus, Sardar Patel Road, Guindy, Chennai 600 025 ",chennai,chennai,government college
2,2,"University Departments of Anna University, Chennai - ACT Campus, Sardar Patel Road, Guindy, Chennai 600 025 ",chennai,chennai,government college
3,4,"University Departments of Anna University, Chennai - MIT Campus, Chrompet, Tambaram Taluk, Chengalpattu District 600 044 ",chengalpattu,chennai,government college
4,5,"Annamalai University Faculty of Engineering and Technology,Annamalai nagar,Cuddalore ",cuddalore,thanjavur,government college
5,1013,"University College of Engineering, Villupuram, Kakuppam, Villupuram District 605103 ",villupuram,thanjavur,constituent colleges
6,1014,"University College of Engineering, Tindivanam, Melpakkam, Tindivanam, Villupuram District 604001 ",villupuram,thanjavur,constituent colleges
7,1015,"University College of Engineering, Arni, Arni to Devikapuram Road, Thatchur, Arni, Thiruvannamalai District 632326 ",thiruvannamalai,chennai,constituent colleges
8,1026,"University College of Engineering, Kancheepuram, Ponnerikarai Campus, NH4, Chennai-Bangalore Highway, Karaipettai Village & Post, Kancheepuram District 631552 ",kancheepuram,chennai,constituent colleges
9,1101,"Aalim Muhammed Salegh College of Engineering, Muthapudupet, Avadi IAF, Chennai 600055 ",chennai,chennai,self financing colleges
10,1102,"BHAJARANG ENGINEERING COLLEGE,AYATHUR VILLAGE, VEPPAMPATTU(R.S),THIRUVALLUR ",thiruvallur,chennai,self financing colleges
11,1106,"Jaya Engineering College, Thirunindravur, Chennai 602024 ",chennai,chennai,self financing colleges
12,1107,"Jaya Institute of Technology, Kanchipadi Post, Thiruvallur-Tiruttani NH Road, Thiruvallur District 631204 ",thiruvallur,chennai,self financing colleges
13,1110,"Prathyusha Engineering college, Aranvoyalkuppam, Thiruvallur District 602025 ",thiruvallur,chennai,self financing colleges
14,1112,"R M D Engineering College, Kavaraipettai, Gummidipoondi, Thiruvallur District 601206 ",thiruvallur,chennai,self financing colleges
15,1113,"R M K Engineering College (Autonomous), Kavaraipettai, Gummidipoondi, Thiruvallur District 601206 ",thiruvallur,chennai,self financing colleges
16,1114,"S A Engineering College (Autonomous), Thiruverkadu, Chennai 600077 ",chennai,chennai,self financing colleges
17,1115,"Sri Ram Engineering College, Perumalpattu, Veppampattu (R S), Thiruvallur District 602 024 ",thiruvallur,chennai,self financing colleges
18,1116,"Sri Venkateswara College of Engineering and Technology, Thirupachur, Thiruvallur District 631203 ",thiruvallur,chennai,self financing colleges
19,1118,"Vel Tech Multi Tech Dr. Rangarajan Dr. Sakunthala Engineering College (Autonomous), Avadi-Alamathi Road, Chennai 600 062 ",chennai,chennai,self financing colleges
20,1120,"Velammal Engineering College (Autonomous), Ambattur-Redhills Road, Chennai 600066 ",chennai,chennai,self financing colleges
21,1121,"Sri Venkateswara Institute of Science and Technology, Kozhundalur, Thiruvallur District 631203 ",thiruvallur,chennai,self financing colleges
22,1122,"Vel Tech High Tech Dr. Rangarajan Dr. Sakunthala Engineering College, Avadi-Alamathi Road, Chennai 600 062 ",chennai,chennai,self financing colleges
23,1123,"Gojan School of Business and Technology, Alamathi, Chennai 600062 ",chennai,chennai,self financing colleges
24,1124,"SAMS College of Engineering and Technology, Panappakkam, Chennai-Tirupathi Road, Uthukkottai Taluk, Thiruvallur District 601102 ",thiruvallur,chennai,self financing colleges
25,1125,"P M R Engineering College, Adayalampattu, Maduravoyal , Vanagaram, Chennai 600095 ",chennai,chennai,self financing colleges
26,1126,"J N N Institute of Engineering, Ushaa Garden, Kannigaipair Village, Uthukottai Taluk, Thiruvallur District 601102 ",thiruvallur,chennai,self financing colleges
27,1127,"St. Peters College of Engineering and Technology, College Road, Avadi, Chennai 600 054 ",chennai,chennai,self financing colleges
28,1128,"R M K College of Engineering and Technology, Puduvoyal, Gummidipoondi Taluk, Thiruvallur District 601206 ",thiruvallur,chennai,self financing colleges
29,1133,"Annai Veilankannis College of Engineering, Gandhi Road, Nedungundram, Chennai 600048 ",chennai,chennai,self financing colleges
30,1137,"Annai Mira College of Engineering and Technology, Arcot Road, Arappakkam Village, Walaja Taulk, Ranipet District 632 517 ",ranipet,chennai,self financing colleges
31,1140,"Jeppiaar Institute of Technology,kunnam Village,Sriperumpudur Taulk,Kancheepuram District 631604 ",kancheepuram,chennai,self financing colleges
32,1141,"R V S Padmavathy College of Engineering and Technology, Senthil Pakkam Village, Roshanagaram Post, Madarapakkam Via,Gummidipoondi Taluk, Thiruvallur District 601202 ",thiruvallur,chennai,self financing colleges
33,1149,"St. Joseph’s Institute of Technology, Jeppiaar Nagar, Old Mahabalipuram Road (OMR), Chennai 600119 ",chennai,chennai,self financing colleges
34,1150,"Sri Jayaram Institute of Engineering and Technology, 51 N, Elavur, 58N, Natham, Gummidipoondi Taluk, Thiruvallur District 601201 ",thiruvallur,chennai,self financing colleges
35,1201,"Arignar Anna Institute of Science and Technology, Pennalur, Sriperumpudur Taluk, Kancheepuram District 602105 ",kancheepuram,chennai,self financing colleges
36,1202,"D M I College of Engineering, Palanchoor, Nazrethpet, Chennai 602103 ",chennai,chennai,self financing colleges
37,1205,"Lord Venkateshwara Engineering College, Walajabad Post, Kancheepuram District 631605 ",kancheepuram,chennai,self financing colleges
38,1207,"Kings Engineering College, Sriperumpudur Taluk, Kancheepuram District 602105 ",kancheepuram,chennai,self financing colleges
39,1208,"KANCHI PALLVAN ENGINEERING COLLEGE ",kollivakam,chennai,self financing colleges
40,1209,"Pallavan College of Engineering, Thimmasamudram, Kancheepuram District 631502 ",kancheepuram,chennai,self financing colleges
41,1210,"Panimalar Engineering College, Nazarethpet, Poonamallee, Chennai 602103 ",chennai,chennai,self financing colleges
42,1211,"Rajalakshmi Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105 ",kancheepuram,chennai,self financing colleges
43,1212,"Rajiv Gandhi College of Engineering, Nemili, Sriperumpudur Taluk, Kancheepuram District 602105 ",kancheepuram,chennai,self financing colleges
44,1213,"S K R Engineering College, Poonamallee, Chennai 600123 ",chennai,chennai,self financing colleges
45,1216,"Saveetha Engineering College (Autonomous), Thandalam, Sriperumpudur Taluk, Kancheepuram District 602105 ",kancheepuram,chennai,self financing colleges
91,1411,"Madha Engineering College, Kundrathur, Chennai 600069 ",chennai,chennai,self financing colleges
46,1217,"Sree Sastha Institute of Engineering and Technology, Chembarambakkam, Chennai 600103 ",chennai,chennai,self financing colleges
47,1218,"Sri Muthukumaran Institute of Technology, Near Mangadu, Chennai 600069 ",chennai,chennai,self financing colleges
48,1219,"Sri Venkateswara College of Engineering (Autonomous), Post Bag No.1, Chennai-Bengaluru High Road, Pennalur, Irungattukottai S.O., Sriperumbudur Taluk, Kancheepuram District 602117 ",kancheepuram,chennai,self financing colleges
49,1221,"Jaya College of Engineering and Technology, Parivakkam, Poonamallee, Chennai 600056 ",chennai,chennai,self financing colleges
50,1222,"P B College of Engineering, Irungkattukottai, Sriperumpudur Taluk, Kancheepuram District 602105 ",kancheepuram,chennai,self financing colleges
51,1225,"Loyola Institute of Technology, Mevaloorkuppam, B Village, Palanchoor, Nazarethpet Post, Chennai 600123 ",chennai,chennai,self financing colleges
52,1226,"P T Lee Chengalvaraya Naicker College of Engineering and Technology, Oovery, Veliyur Post, Kancheepuram District 631 502 ",kancheepuram,chennai,self financing colleges
53,1228,"Alpha College of Engineering, Dr. Grace George Nagar, Udayavar Koil Street, Thirumazhisai, Poonamalle, Chennai 602107 ",chennai,chennai,self financing colleges
54,1229,"Indira Institute of Engineering and Technology, VGR Gardens, Pandur, Thiruvallur District 631203 ",thiruvallur,chennai,self financing colleges
55,1230,"Apollo Engineering College, Mevaloorkuppam, Valarpuram Post, Sriperumpudur, Kancheepuram District 602105 ",kancheepuram,chennai,self financing colleges
56,1231,"Panimalar Institute of Technology, Nazarethpet, Poonamallee, Chennai 602103 ",chennai,chennai,self financing colleges
57,1233,"Adhi College of Engineering and Technology, Pazhayaseevaram, Madura Sankarapuram Village, Kancheepuram District 631605 ",Kancheepuram,chennai,self financing colleges
58,1237,"Velammal Institute of Technology, Chennai-Kolkatta Highway, Panchetti Village, Ponneri Taluk, Thiruvallur District 601204 ",thiruvallur,chennai,self financing colleges
59,1238,"GRT Institute of Engineering and Technology, GRT Mahalakshmi Nagar, Chennai-Tirupathi Highway, Tiruttani Taluk, Thiruvallur District 631209",thiruvallur,chennai,self financing colleges
60,1241,"T J S Engineering College, Peruvoyal, Near Kavaraipettai, Gummidipoondi Taluk, Thiruvallur District 601206 ",thiruvallur,chennai,self financing colleges
